Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
23/04/20,17:45,20:20,Extern,Debuggen van file uploader + ajax calls + FilesController + meerdere bestanden parsen,160/161,
24/04/20,10:55,13:00,Extern,Sprint planning meeting met de klant voor sprint 3 + uittesten installatiehandleiding van andere groep,,
24/04/20,08:00,12:30,Contacturen,Updates to ajax calls + reading multiple files + drone's drone flights + threshold value for drone flight time,160/161/166/167/173,Updated inconsistencies + debugging + fixed data tables + added RawImages button
24/04/20,12:30,14:20,Extern,Update helper class + drone edit+create & drone flight delete logic now work together correctly to keep track of threshold time and change it if needed,160/161/166/167/173,The user is now shown a visual indicator of when a drone needs to be checked in Aalst
30/04/20,13:20,17:45,Contacturen,TimeSpan bug fix + fixed crash bug on create & edit + fixed drone name bug after edit + css styling,140/157/175/178,
30/04/20,17:45,20:05,Extern,re-design webpages + css styling,140,
01/05/20,12:00,12:35,Extern,Debugging css & Location is now set to TBD instead of blank location is the user does not provide one during drone flight creation,140,
01/05/20,12:55,15:35,Extern,Fixed css for images & hover upload and map + Complete overhaul of all cshtml pages,140/179,
01/05/20,15:40,18:05,Extern,Breadcrumbing / Notes veld toegevoegd voor een Drone / Drone Flights hebben nu ook een starttijd / layout fixes / css fixes / alle styles uit html / debugging van cshtml pages / script update,140/179/180/181/182, 
03/05/20,11:40,13:00,Extern,Drone Flights zonder datum crashten de Documents pagina's (qr; tfw; images etc.) voor drone flights,185, Debugging + cascading deletion by rawimages toegevoegd
03/05/20,13:20,16:35,Extern,Gebruiker kan geen null files meer uploaden + webapp controleert extensies voor het uploaden + controle bij multiple upload in orde + css fix voor images die niet meer getoond werden + user can now manually tag a drone that needs a check-up (the threshold is correctly calculated on reset of this == checked),150/184/186/188, Debugging
03/05/20,17:00,19:40,Extern,Oplossen van ajax communicatie bug (tonen van progress + juiste aantal files tijdens inlezen + op het einde),172,
03/05/20,20:00,23:55,Extern,Oplossen van ajax communicatie bug (tonen van progress + juiste aantal files tijdens inlezen + op het einde) + progress bar voor alle files naar 100% in totaal + tonen van lijst met files die niet werden geparset,163/172/191,Databank script update + debugging ajax + error messages & rewrite FilesController
04/05/20,12:30,14:45,Extern,Bug opgelost heruploaden + fixed css-klassen toevoegen/verwijderen via jquery + fixed output naar Client in fileUpload.js,192/193/195,
04/05/20,15:00,16:30,Extern,Deployment diagram,197,
05/05/20,08:15,12:45,Contacturen,Ondersteuning groepsleden + oplossen van enkele minor bugs + schrijven aan verslag (documentatie js-bestanden) ,201,
07/05/20,13:25,17:45,Contacturen,installatiehandleiding,138,
07/05/20,17:45,20:10,Extern,Limiet toegevoegd uploaden bestanden + documentatie js-scripts,201/206,
08/05/20,17:00,17:40,Extern,Navigation issue,204,
08/05/20,22:35,22:40,Extern,Gebruiker kan niet naar vlucht zijn map navigeren indien er geen drone log geupload is,168,
09/05/20,16:45,18:45,Extern,Verslag (verbeteren en mergen van teksten Philip) + herschrijven van MVC deel (Model en Controllers) + update van indeling inhoud,138,
09/05/20,20:05,20:25,Extern,Debugging inloggen + fix data tables,209,
09/05/20,20:45,21:45,Extern,Debugging volledige webapplicatie,, Fout gevonden met berekening threshold en next check-up time
09/05/20,20:45,22:25,Extern,Schrijven van hoofdstuk Future Work,138,
09/05/20,22:35,22:55,Extern,Debugging webapp,,
10/05/20,12:35,19:50,Extern,Verslag + Presentatie voorbereiden + Debugging webapp + debugging datcon + return false bij alle parsers + algemene code check,26/138/212,
11/05/20,11:00,13:15,Extern,Bespreken DatCon met Nathan + werken aan ppt + verslag + nalezen tekst medestudenten,26/138,
11/05/20,13:35,16:15,Extern,werken aan ppt + verslag + nalezen tekst medestudenten,138,
12/05/20,08:00,11:30,Extern,Presentatie oefenen + presenteren + deelname aan de presentatiesessie andere groepen,,
13/05/20,13:30,18:30,Extern,Verslag nalezen + gebruikershandleiding + besluit schrijven,138,
13/05/20,18:30,19:15,Extern,referenties,138,
13/05/20,19:55,21:20,Extern,Testen webapp + mergen naar master + testen op server,,
13/05/20,21:30,23:55,Extern,Testen op server,,
14/05/20,11:30,12;30,Extern,Oefenen presentatie en demo,,
14/05/20,13:30,14;30,Extern,presentatie en demo met Jan De Nul,,
